iter,games,net,AspirationDelta,AspirationWidenPct,RfpMargin,RfpMaxDepth,LmrMinDepth,LmrMinMoveIndex,LmrDepth6At,LmrDeepAt,HistoryBonusMultPct
57,16,-0.4375,125.28,148.00,96.72,8.21,2.22,3.06,5.49,11.14,98.17
58,16,+0.0625,125.13,147.92,96.66,8.19,2.21,3.07,5.49,11.15,98.24
59,16,+0.2500,124.55,147.61,96.91,8.13,2.18,3.10,5.46,11.09,98.48
60,16,-0.2500,123.97,147.31,97.15,8.07,2.21,3.07,5.43,11.03,98.73
61,16,+0.0000,123.97,147.31,97.15,8.07,2.21,3.07,5.43,11.03,98.73
62,16,+0.1875,123.54,147.08,96.97,8.11,2.24,3.09,5.41,10.99,98.55
63,16,-0.3125,122.83,146.71,96.67,8.04,2.20,3.13,5.37,11.06,98.84
64,16,+0.1250,123.11,146.56,96.79,8.01,2.18,3.15,5.36,11.03,98.73
65,16,-0.3750,122.28,146.12,96.44,8.10,2.14,3.10,5.31,10.94,98.37
66,16,-0.1875,122.69,145.90,96.26,8.14,2.12,3.08,5.29,10.99,98.20
67,16,+0.2500,122.14,145.61,96.49,8.20,2.15,3.11,5.32,11.04,98.43
68,16,-0.1875,121.73,145.83,96.67,8.16,2.13,3.09,5.30,11.00,98.26
69,16,+0.0625,121.60,145.76,96.61,8.14,2.13,3.09,5.31,11.02,98.32
70,16,+0.1250,121.33,145.90,96.72,8.17,2.12,3.11,5.29,10.99,98.20
71,16,+0.3750,122.13,145.48,97.06,8.09,2.08,3.15,5.25,10.90,97.87
72,16,-0.1250,122.39,145.62,96.95,8.06,2.06,3.16,5.24,10.93,97.75
73,16,-0.1250,122.13,145.76,96.84,8.09,2.05,3.15,5.25,10.90,97.64
74,16,+0.1250,121.87,145.89,96.73,8.11,2.03,3.14,5.26,10.88,97.75
75,16,-0.1875,121.48,145.69,96.56,8.15,2.01,3.12,5.28,10.83,97.92
76,16,-0.2500,120.97,145.42,96.35,8.21,2.00,3.14,5.26,10.89,97.70
77,16,-0.0625,120.84,145.35,96.40,8.22,2.01,3.15,5.25,10.88,97.75
